Number,Time
1,0.279
2,6.317
3,4.386
4,1.183
5,5.708
6,0.247
7,6.351
8,0.292
9,0.515
10,0.262
11,6.274
12,0.357
13,4.592
14,0.239
15,0.254
16,0.283
17,5.411
18,0.287
19,4.837
20,0.38
21,0.52
22,0.361
23,5.8
24,0.365
25,0.454
26,0.304
27,0.268
28,0.304
29,5.64
30,0.328
31,4.514
32,0.395
33,0.734
34,0.278
35,0.294
36,0.309
37,4.822
38,0.43
39,0.394
40,0.335
41,7.744
42,0.326
43,5.817
44,0.294
45,0.494
46,0.316
47,5.367
48,0.373
49,0.553
50,0.32
51,0.323
52,0.327
53,4.964
54,0.298
55,0.316
56,0.337
57,0.517
58,0.325
59,4.893
60,0.391
61,4.465
62,0.341
63,0.317
64,0.335
65,0.75
66,0.316
67,6.505
68,0.343
69,0.49
70,0.306
71,6.291
72,0.347
73,6.554
74,0.305
75,0.323
76,0.349
77,0.472
78,0.339
79,6.104
80,0.348
81,0.623
82,0.346
83,6.92
84,0.304
85,0.551
86,0.347
87,0.335
88,0.355
89,7.273
90,0.355
91,0.325
92,0.361
93,0.542
94,0.35
95,0.378
96,0.333
97,7.871
98,0.346
99,0.32
100,0.352
101,7.292
102,0.359
103,6.43
104,0.429
105,0.489
106,0.356
107,6.523
108,0.401
109,7.292
110,0.358
111,0.343
112,0.376
113,7.464
114,0.32
115,0.338
116,0.355
117,0.514
118,0.348
119,0.338
120,0.38
121,0.458
122,0.388
123,0.348
124,0.365
125,0.42
126,0.357
127,6.538
128,0.371
129,0.865
130,0.362
131,5.87
132,0.374
133,0.51
134,0.371
135,0.354
136,0.364
137,6.624
138,0.385
139,7.384
140,0.419
141,0.514
142,0.378
143,0.374
144,0.38
145,0.611
146,0.353
147,0.348
148,0.371
149,6.962
150,0.37
151,6.433
152,0.388
153,0.522
154,0.37
155,0.39
156,0.383
157,6.965
158,0.371
159,0.37
160,0.381
161,0.731
162,0.376
163,6.481
164,0.378
165,0.431
166,0.356
167,6.51
168,0.386
169,0.599
170,0.373
171,0.376
172,0.386
173,7.156
174,0.393
175,0.391
176,0.391
177,0.575
178,0.332
179,7.318
180,0.392
181,6.975
182,0.434
183,0.385
184,0.353
185,0.59
186,0.336
187,0.361
188,0.366
189,0.442
190,0.348
191,6.577
192,0.396
193,8.595
194,0.323
195,0.387
196,0.348
197,6.285
198,0.34
199,6.651
200,0.351
201,0.555
202,0.356
203,0.38
204,0.333
205,0.565
206,0.347
207,0.377
208,0.347
209,0.543
210,0.377
211,6.662
212,0.388
213,0.522
214,0.417
215,0.451
216,0.344
217,0.527
218,0.36
219,0.33
220,0.353
221,0.439
222,0.351
223,6.965
224,0.366
225,0.753
226,0.347
227,10.087
228,0.438
229,6.751
230,0.341
231,0.389
232,0.362
233,10.141
234,0.389
235,0.423
236,0.347
237,0.434
238,0.361
239,9.411
240,0.405
241,7.929
242,0.35
243,0.389
244,0.36
245,0.463
246,0.379
247,0.396
248,0.368
249,0.49
250,0.356
251,6.992
252,0.407
253,0.475
254,0.373
255,0.405
256,0.369
257,9.949
258,0.395
259,0.389
260,0.354
261,0.551
262,0.365
263,6.676
264,0.437
265,0.584
266,0.355
267,0.372
268,0.355
269,7.017
270,0.365
271,6.625
272,0.358
273,0.621
274,0.374
275,0.407
276,0.707
277,7.585
278,0.375
279,0.398
280,0.379
281,7.568
282,0.346
283,7.206
284,0.359
285,0.455
286,0.395
287,0.415
288,0.405
289,0.698
290,0.35
291,0.396
292,0.361
293,7.099
294,0.4
295,0.397
296,0.425
297,0.58
298,0.355
299,0.428
300,0.379
301,0.559
302,0.376
303,0.401
304,0.363
305,0.637
306,0.372
307,6.504
308,0.409
309,0.485
310,0.412
311,7.567
312,0.481
313,7.695
314,0.464
315,0.41
316,0.402
317,6.943
318,0.417
319,0.4
320,0.427
321,0.777
322,0.43
323,0.376
324,0.383
325,0.544
326,0.382
327,0.37
328,0.411
329,0.512
330,0.411
331,7.169
332,0.418
333,0.503
334,0.416
335,0.383
336,0.412
337,7.795
338,0.408
339,0.389
340,0.374
341,0.461
342,0.397
343,0.396
344,0.413
345,0.513
346,0.414
347,7.019
348,0.419
349,10.189
350,0.377
351,0.407
352,0.417
353,8.554
354,0.402
355,0.383
356,0.403
357,0.46
358,0.403
359,7.49
360,0.377
361,0.602
362,0.404
363,0.392
364,0.449
365,0.512
366,0.405
367,9.549
368,0.427
369,0.632
370,0.411
371,0.412
372,0.408
373,8.828
374,0.418
375,0.389
376,0.421
377,0.542
378,0.411
379,6.905
380,0.416
381,0.581
382,0.431
383,7.504
384,0.477
385,0.968
386,0.398
387,0.416
388,0.406
389,7.359
390,0.373
391,0.394
392,0.41
393,0.65
394,0.398
395,0.396
396,0.4
397,6.902
398,0.398
399,0.418
400,0.431
401,7.522
402,0.395
403,0.408
404,0.41
405,0.47
406,0.421
407,0.425
408,0.41
409,7.47
410,0.414
411,0.381
412,0.381
413,0.501
414,0.408
415,0.42
416,0.44
417,0.683
418,0.395
419,6.624
420,0.399
421,6.915
422,0.401
423,0.408
424,0.416
425,0.552
426,0.422
427,0.411
428,0.423
429,0.492
430,0.402
431,7.163
432,0.379
433,8.269
434,0.397
435,0.378
436,0.416
437,0.435
438,0.408
439,7.087
440,0.422
441,0.562
442,0.376
443,6.687
444,0.375
445,0.534
446,0.393
447,0.431
448,0.394
449,8.977
450,0.357
451,0.403
452,0.398
453,0.454
454,0.411
455,0.408
456,0.416
457,7.578
458,0.404
459,0.423
460,0.399
461,6.971
462,0.369
463,7.319
464,0.42
